customer_id,age,income,credit_score,debt_ratio,employment_years,num_accounts
C00001,28,45000,580,55,3,3
C00002,45,95000,750,25,15,7
C00003,34,62000,680,42,8,5
C00004,52,105000,780,18,20,8
C00005,29,38000,520,72,2,2
C00006,41,78000,720,30,12,6
C00007,35,51000,620,65,6,4
C00008,58,125000,800,12,25,9
C00009,26,35000,480,85,1,2
C00010,47,87000,740,22,14,7
C00011,33,59000,650,48,7,4
C00012,56,112000,790,15,22,8
C00013,24,32000,510,90,0,2
C00014,44,76000,710,35,11,6
C00015,38,68000,690,38,10,5
C00016,61,135000,820,10,30,9
C00017,27,42000,550,70,2,3
C00018,50,98000,755,20,16,7
C00019,36,55000,635,55,8,4
C00020,63,118000,805,14,28,9
C00021,31,48000,610,52,5,3
C00022,48,88000,735,28,13,6
C00023,37,64000,675,45,9,5
C00024,55,110000,795,16,23,8
C00025,25,40000,540,75,1,2
C00026,46,92000,745,24,15,7
C00027,32,57000,640,50,6,4
C00028,59,128000,815,11,26,9
C00029,28,44000,590,65,3,3
C00030,51,102000,775,19,18,8
